 TW,#genre#
 罪案侦缉频道,mitv://ns2.hellotvvod.com:9906/29ccf3a32bad4b6ab24385ef364439c3.ts
 BBC Lifestyle,mitv://ns2.hellotvvod.com:9906/9071409b39134b9ba2ef6571aa8e4d51.ts
 国家地理高画质悠人频道,mitv://ns2.hellotvvod.com:9906/cbf1bc8d7bf64669b897a8fcb62ccf72.ts
 LUXE TV,mitv://ns2.hellotvvod.com:9906/09a0381ca5bc40749506d36007c22601.ts
 Lifetime,mitv://ns2.hellotvvod.com:9906/c53cc1a05c4a4e3b8a901f7a0bad9b3d.ts
 KLT-靖天国际台,mitv://ns2.hellotvvod.com:9906/3bafa0deb0864038ac0e5950c9681cf9.ts
 HGTV居家乐活频道,mitv://ns2.hellotvvod.com:9906/e9b1075105b64fb3891f1234d22baac4.ts
 Love Nature,mitv://ns2.hellotvvod.com:9906/23cd0cb793af44adb55696188c87a62c.ts
 美食星球,mitv://ns2.hellotvvod.com:9906/24849267ba7f42dfb126e59bc3afe828.ts
 亚洲美食频道,mitv://ns2.hellotvvod.com:9906/1a90a3a8ba5c4157bf86236beb6c77f4.ts
 Food Network,mitv://ns2.hellotvvod.com:9906/462d56e7e83a4b96b8bb3e5b3963dfcd.ts
 亚洲旅游台,mitv://ns2.hellotvvod.com:9906/8a982a590d16413dab1bc9b56922d481.ts
 EYE TV旅游台,mitv://ns2.hellotvvod.com:9906/602055d291ce4dd496aebae8aa5a4e78.ts
 Travel Channel,mitv://147.135.39.171:9906/60563719000925f79e2d93e67ebc5a59.ts
 时尚频道,mitv://ns2.hellotvvod.com:9906/11523df6c6da4481a658ff80fb48dfc3.ts
 好消息2台,mitv://ns2.hellotvvod.com:9906/294aecebd03f461497df1e94feab46cc.ts
 三立综合台,mitv://ns2.hellotvvod.com:9906/e2850b81ea6c4e2aa73ae54b7e8c1d44.ts
 靖天资讯台,mitv://ns2.hellotvvod.com:9906/c4e6ff908e794a71bb0ce799fca09c5b.ts
 靖天综合台,mitv://ns2.hellotvvod.com:9906/aca45e78fce646aea915169b30f9960e.ts
 靖天育乐台,mitv://ns2.hellotvvod.com:9906/8825795db88447f0aa90e0d7cfe14c6b.ts
 中视经典台,mitv://ns2.hellotvvod.com:9906/6642d9af57684cfe994685f4551cbfb3.ts
 中视菁采台,mitv://ns2.hellotvvod.com:9906/294d266a02424094bc90ab3790545e31.ts
 TVBS精采台,mitv://ns2.hellotvvod.com:9906/9e0b7a05418f4a759c167d64a780d549.ts
 壹电视综合,mitv://ns2.hellotvvod.com:9906/2d06592cab7e4a85a5331ff2b254a3e8.ts
 纬来精采,mitv://ns2.hellotvvod.com:9906/fab7a6046f4a499b9acf3132cd15c404.ts
 ETtoday综合台,mitv://ns2.hellotvvod.com:9906/e95839186ac247acad7a48d824c6283f.ts
 民视第一台,mitv://ns2.hellotvvod.com:9906/2d4e13a13cd24cfbb5d07213504c7d85.ts
 民视台湾台,mitv://ns2.hellotvvod.com:9906/0eb9f7a0d7054316834ce558a4d3a039.ts
 Nice TV靖天欢乐台,mitv://ns2.hellotvvod.com:9906/6ff9e6bdc9d242858cfbc91d1d0f916c.ts
 新唐人亚太台,mitv://ns2.hellotvvod.com:9906/a9dd1e0df592486a9c01cef2f2b2ef67.ts
 八大优频道,mitv://ns2.hellotvvod.com:9906/3d2c3e7916d643b4b10a8465c2444371.ts
 三立戏剧台,mitv://ns2.hellotvvod.com:9906/561a78989ec54e42a3d8125eec178501.ts
 龙华戏剧,mitv://ns2.hellotvvod.com:9906/33aef6bf34f84309a724b1175b37b200.ts
 靖天戏剧台,mitv://ns2.hellotvvod.com:9906/6d974d62f64149b5bdac029aee05b45f.ts
 靖洋戏剧台,mitv://ns2.hellotvvod.com:9906/fe3194fd94db457f97449a99e317e863.ts
 靖天日本台,mitv://ns2.hellotvvod.com:9906/efd982b48d9d4154b3a85732999e993c.ts
 i-Fun动漫台,mitv://ns2.hellotvvod.com:9906/f98703a0872b42afbd573d834569bc52.ts
 tvN,mitv://147.135.39.171:9906/5f25734d0009e72b5191c20a0d235030.ts
 韩国娱乐台,mitv://ns2.hellotvvod.com:9906/7da08ec7518a401c88afa21ed5561e3b.ts
 星卫娱乐台,mitv://ns2.hellotvvod.com:9906/504b5703ef7c493a8a3507fcf4a850cc.ts
 BLUE ANT Extreme,mitv://ns2.hellotvvod.com:9906/2f2f98cc66be4a0796f37663ee5b3d55.ts
 中视新闻台,mitv://ns2.hellotvvod.com:9906/1006af7ba40243bdaf56482d80fbc76f.ts
 寰宇新闻台,mitv://ns2.hellotvvod.com:9906/298a4a0dee484c4a84734f486ef1a28e.ts
 华视新闻,mitv://ns2.hellotvvod.com:9906/5409b1723cfb4e63b1eb6801d7874afc.ts
 Euronews,mitv://147.135.39.171:9906/605a016e000f2786acfbf17426312f52.ts
 NHK新闻资讯台,mitv://ns2.hellotvvod.com:9906/8f448dc7da4d49ceaad14f9e3b6e1d61.ts
 美亚电影台HD,mitv://ns2.hellotvvod.com:9906/16ca164b6e10418ba81a55b8c38bf6b3.ts
 龙华电影,mitv://ns2.hellotvvod.com:9906/c2b9916b3a4c4f2b9dc3f4390ca9fa82.ts
 星卫HD电影台,mitv://ns2.hellotvvod.com:9906/a4c102a3880f4ec7ae2805184563e109.ts
 靖天映画,mitv://ns2.hellotvvod.com:9906/b3bd3cfbc9a54eb999a9929c2ed3dba1.ts
 靖天电影台,mitv://ns2.hellotvvod.com:9906/e7a86b3b8a114e30907926a8a251b813.ts
 WARNER TV,mitv://ns2.hellotvvod.com:9906/e36819c1a5c74ab38705022c3113b6a4.ts
 Star Movies HD,mitv://ns2.hellotvvod.com:9906/1e2cd72fdcc04eaca28970f5990fccd4.ts
 福斯家庭电影台,mitv://ns2.hellotvvod.com:9906/ca1570fc4d98422a9539a716ab6978d8.ts
 AMC最爱电影,mitv://ns2.hellotvvod.com:9906/a598bd018db24da5b52bdebf377efcf9.ts
 FOX CRIME,mitv://ns2.hellotvvod.com:9906/22176f0fc72e40a9903b97f64085d913.ts
 CatchPlay电影台,mitv://ns2.hellotvvod.com:9906/f59c62e6b1f24a2c8621e8aa70971ace.ts
 CinemaWorld,mitv://ns2.hellotvvod.com:9906/1c0d7aa542d443349537306a86079caf.ts
 壹电视电影台,mitv://ns2.hellotvvod.com:9906/31c9b59516e44b2d9d992f946fb84225.ts
 采昌影剧台,mitv://ns2.hellotvvod.com:9906/80155fa735504f4f928739e35a378f86.ts
 唯心电视台,mitv://ns2.hellotvvod.com:9906/44049bad87344f05850374a76aa9136e.ts
 佛卫慈悲台,mitv://ns2.hellotvvod.com:9906/96530fd0f93e47229b78122cb34e7d03.ts
 TV5Monde,mitv://ns2.hellotvvod.com:9906/31f00258eedc41c1905e3e09b69a0937.ts
 Arirang TV,mitv://ns2.hellotvvod.com:9906/5fddbcac000687bd0953331b467833b1.ts
 VTV4,mitv://ns2.hellotvvod.com:9906/5ff5d6b7000976be677903601edb1d03.ts
 东风卫视,mitv://147.135.39.171:9906/5ee3894d000983f2ce65d05916fb74df.ts
 CH,#genre#
 CCTV1,mitv://ns2.hellotvvod.com:9906/31441d23f9534ea78773d5b83ad695de.ts
 CCTV2,mitv://ns2.hellotvvod.com:9906/576d5194877940cca32822755f6106bc.ts
 CCTV3,mitv://ns2.hellotvvod.com:9906/db85e8d2ca914ed2abb70a37dfd2a571.ts
 CCTV4,mitv://ns2.hellotvvod.com:9906/ac23dde7aedc4ed8826c75b04cc95a8d.ts
 CCTV5,mitv://ns2.hellotvvod.com:9906/48aae233e160457692ed827341e12710.ts
 CCTV5+,mitv://ns2.hellotvvod.com:9906/3a90e3562b9f45cd915e674180794cf5.ts
 CCTV6,mitv://ns2.hellotvvod.com:9906/66c5c17382bc415d8c9030aade9ee3f1.ts
 CCTV7,mitv://ns2.hellotvvod.com:9906/69fa719ff4db4629b913849da756b593.ts
 CCTV8,mitv://ns2.hellotvvod.com:9906/218f88b163ba4b6f925b59ff4766d56b.ts
 CCTV9,mitv://ns2.hellotvvod.com:9906/cb79c7312c154f24ba51f75f2db25400.ts
 CCTV10,mitv://ns2.hellotvvod.com:9906/83842281e76a4940adbf689cbbd553e1.ts
 CCTV11,mitv://ns2.hellotvvod.com:9906/18552e21c4d849dbb8339689ccd070f5.ts
 CCTV12,mitv://ns2.hellotvvod.com:9906/10294c8bc7c244e3be89cf023ab1cac3.ts
 CCTV13,mitv://ns2.hellotvvod.com:9906/5c986e0978bd4610a844ce024278b601.ts
 CCTV14,mitv://ns2.hellotvvod.com:9906/2f77db7450cb41868d519de1ec84a674.ts
 CCTV15,mitv://ns2.hellotvvod.com:9906/4b3a68dc89c8459eb1cd49fb6549f770.ts
 北京卫视,mitv://ns2.hellotvvod.com:9906/61d2dde0f9e446478b0af550a6a84466.ts
 天津卫视,mitv://ns2.hellotvvod.com:9906/0f1a1ea01327489498b9ee680fc78889.ts
 河北卫视,mitv://ns2.hellotvvod.com:9906/6b3878c164fa4481b4c21ec046e811f3.ts
 黑龙江卫视,mitv://ns2.hellotvvod.com:9906/e3a77e56da5c41ca8b4a2a94053ac712.ts
 辽宁卫视,mitv://ns2.hellotvvod.com:9906/10b95cbacf694846830e4adb496b520c.ts
 东方卫视,mitv://ns2.hellotvvod.com:9906/511c1ddbb5e44eb3b4c34c1fc84bdf26.ts
 江苏卫视,mitv://ns2.hellotvvod.com:9906/0e70a96f35a748c8ba8af659b457df34.ts
 浙江卫视,mitv://ns2.hellotvvod.com:9906/d26c883754b649c5ad2fff5caad3e2e0.ts
 江西卫视,mitv://ns2.hellotvvod.com:9906/f584d5d479424be3a09ecb15b18ce567.ts
 山东卫视,mitv://ns2.hellotvvod.com:9906/ea34f66cefba4c95bf24f7b410e08e82.ts
 东南卫视,mitv://ns2.hellotvvod.com:9906/65888e2b63ad463a9111e1f81d248b5b.ts
 湖北卫视,mitv://ns2.hellotvvod.com:9906/2754a38f8c58410fa502192ed615d2ad.ts
 湖南卫视,mitv://ns2.hellotvvod.com:9906/f70e3201edc9454b8d6a80c5241084dc.ts
 深圳卫视,mitv://ns2.hellotvvod.com:9906/e6111d2977024cc7a49b3ff892f97fe3.ts
 广东卫视,mitv://ns2.hellotvvod.com:9906/8dca52b84e934ab49ac7a3ead14b0bee.ts
